UF,Total (1 000 pessoas),Total (1 000 pessoas) CV (%),Branca  (Total),Branca CV (%),Preta Total,Preta CV (%),Parda (Total),Parda CV (%),Amarela ou indígena (Total),Amarela ou indígena CV (%),Ano:
Alagoas,3286,8489999999192,-,23,999517679448342,3,5171304975384072,4,8539323143596675,6,9429065478791143,70,30151190436051,1,278884695514249,0,83154566574184019,22,037271880262413,2016
Sergipe,2236,7830000000185,-,21,646312446640536,5,4438266859391256,6,6298640873871237,7,2854940927488494,70,736351891291605,1,6813261711698941,0,98747157468053826,18,050679850892394,2016
Bahia,14670,485000000053,-,17,779304644423792,3,6159768158501269,19,958423441509556,3,7830417519764135,61,457067698514592,1,1794895220459278,0,79672776063997752,17,754340739692427,2016
Minas Gerais,20769,869000000588,-,41,072204951802682,1,7700541667142446,10,66838995895527,3,7031196893895038,47,94851184670145,1,3829952837645394,0,29795726384104038,18,010392867793001,2016
Espírito Santo,3875,8639999999982,-,38,477795587636109,2,4449452666181499,9,1767409746023905,4,768381943911991,51,834784769258412,1,6160542526245183,0,51067866850388799,15,725934923896906,2016
Rio de Janeiro,16947,230000000221,-,44,59173754370773,1,7619818889673813,14,255736517829476,3,1072267534086766,40,804267130301504,1,6565771980998085,0,32956294679033105,13,152880966046865,2016
São Paulo,44754,21500000052,-,61,45671201435237,1,3104868571428978,6,2729540259927061,4,5673917353606805,30,362797406775726,2,3512141408715532,1,9015472407497036,9,1617940928232233,2016
Paraná,11162,814999999746,-,67,591840287028262,1,2008982050312851,3,3141202131474907,6,6742944247390472,27,794496993721975,2,9183250912417535,1,2995425060988686,14,884638402885972,2016
Santa Catarina,6882,5109999998622,-,84,142450150559412,0,72453974649306585,2,4713578884355676,7,4533364632809294,13,089727212968196,4,22940712736147,0,29646474803964223,20,009378676999077,2016
Rio Grande do Sul,11211,226999999835,-,81,518907970055594,0,81513756076108534,5,2163244828631452,6,5502444381956639,13,002488967707501,4,1303527443864674,0,25464850222089735,19,882882626820209,2016
Mato Grosso do Sul,2618,0289999999582,-,43,191623867742607,2,6633998340078264,5,1344609993419219,8,1576065720138118,50,353811982097966,2,2088387918407193,1,3201031508165326,15,621013390690546,2016
Mato Grosso,3305,2739999998994,-,32,557704123626444,2,9844274337638312,7,5629685683645143,5,7719373076033014,59,334452957571152,1,6222758497034639,0,54487435043671351,17,818904387887688,2016
Goiás,6725,7480000000742,-,36,075301553270137,2,5250060215839967,6,4125240630951597,5,8286883046996216,56,828653530596561,1,5115899866160913,0,67492134787269786,16,099466271156167,2016
Distrito Federal,2890,2239999999292,-,38,51370846499961,3,1859342515021658,8,9331445736509032,7,2361265697177144,51,745110824080875,2,3050622500550797,0,80803613726653734,19,530972220311952,2016
Rondônia,1727,2479999999741,-,31,135087905343031,2,9765760380577562,7,4723487459219662,7,2613732937993918,60,768888867059538,1,6822816104656892,0,62367448167455219,18,143454346628332,2017
Acre,840,49100000000487,-,19,096507039199636,4,2598442429705692,5,8787292032559302,9,3928403508449243,74,068888723498318,1,3467165048914294,0,9387756676235488,29,431522986088083,2017
Amazonas,3859,2290000000521,-,18,15476082402753,4,6905154922102019,2,8430837884316089,10,008037849452398,76,664628768850903,1,3092879794559065,2,3375266186881025,23,280669714019027,2017
Roraima,486,74699999999825,-,21,446773792396151,5,6494424918077399,8,3086369585101689,7,2286274299083324,64,066477296193028,2,3132562661168263,6,1781119528993962,20,612814547544168,2017
